node,region,variable,units,CA,BAS,ATS,RAS
Coal Supercritical CCS,Malaysia,Fixed OM Cost,U.S. Dollar,"Interp(2020, 75.7, 2030, 73.6, 2050, 72.4) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
?_x000D_
 Coal Supercritical:Fixed OM Cost[Thousand USD/MW] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS FOM[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS FOM[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS FOM[Thousand USD/MW]) / 100 ? _x000D_
Supercritical FOM cost plus calculated FOM cost for CCS (average of fuel types)","Interp(2020, 75.7, 2030, 73.6, 2050, 72.4) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
?_x000D_
 Coal Supercritical:Fixed OM Cost[Thousand USD/MW] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS FOM[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS FOM[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS FOM[Thousand USD/MW]) / 100 ? _x000D_
Supercritical FOM cost plus calculated FOM cost for CCS (average of fuel types)","Interp(2020, 75.7, 2030, 73.6, 2050, 72.4) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
?_x000D_
 Coal Supercritical:Fixed OM Cost[Thousand USD/MW] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS FOM[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS FOM[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS FOM[Thousand USD/MW]) / 100 ? _x000D_
Supercritical FOM cost plus calculated FOM cost for CCS (average of fuel types)","Interp(2020, 75.7, 2030, 73.6, 2050, 72.4) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
?_x000D_
 Coal Supercritical:Fixed OM Cost[Thousand USD/MW] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS FOM[Thousand USD/MW] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS FOM[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS FOM[Thousand USD/MW] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS FOM[Thousand USD/MW]) / 100 ? _x000D_
Supercritical FOM cost plus calculated FOM cost for CCS (average of fuel types)"
Coal Supercritical CCS,Malaysia,Full Load Hours,Hours,0,0,0,0
Coal Supercritical CCS,Malaysia,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Value(Historical Production[GWh],   LastHistoricalYear) / (Value(Exogenous Capacity[MW],   LastHistoricalYear) / 1000 * 8760) * 100, 100)"
Coal Supercritical CCS,Malaysia,Historical Production,Gigawatt-Hour,0,0,0,
Coal Supercritical CCS,Malaysia,Hourly Storage Carryover,Yes/No,Yes,,,
Coal Supercritical CCS,Malaysia,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Coal Supercritical CCS,Malaysia,Lifetime,Years,40 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,40 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,40 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,40 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/
Coal Supercritical CCS,Malaysia,Maximum Availability,Percent,Coal Ultrasupercritical:Maximum Availability,Coal Ultrasupercritical:Maximum Availability,Coal Ultrasupercritical:Maximum Availability,ScenarioValue(AMS Target Scenario)*Key\Capacity Additions Multiplier\Fossil Fuel Dispatch Reduction:Activity Level[Percent]
Coal Supercritical CCS,Malaysia,Maximum Capacity,Megawatt,,,,0
Coal Supercritical CCS,Malaysia,Maximum Capacity Addition,Megawatt,,,,"Interp(BaseYear, 0, 2023 + Key\Modeling Assumptions\Coal Lead Time:Activity Level[years]+4 - 1, 0, 2023 + Key\Modeling Assumptions\Coal Lead Time:Activity Level[years]+4, 1769.36)"
Coal Supercritical CCS,Malaysia,Maximum Production,Gigajoule,,,,Unlimited
Coal Supercritical CCS,Malaysia,Maximum_Share_of_Production,%,,100,100,100
Coal Supercritical CCS,Malaysia,Merit Order,Merit Order,1,1,1,
Coal Supercritical CCS,Malaysia,Minimum Capacity,Megawatt,,,,0
Coal Supercritical CCS,Malaysia,Minimum Capacity Addition,Megawatt,,,,0
Coal Supercritical CCS,Malaysia,Minimum Charge,Share,0,0,0,0
Coal Supercritical CCS,Malaysia,Minimum Production,Gigajoule,,,,0
Coal Supercritical CCS,Malaysia,Minimum Share of Production,Percent,,,,0
Coal Supercritical CCS,Malaysia,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Coal Supercritical CCS,Malaysia,Node,ID,BranchID(Key\Transmission\Nodes\Malaysia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Malaysia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Malaysia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Malaysia:Activity Level[NA])
Coal Supercritical CCS,Malaysia,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Coal Supercritical CCS,Malaysia,Process Efficiency,Percent,"Interp(2022, 28, 2030, 29, 2050, 30) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 28, 2030, 29, 2050, 30) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 28, 2030, 29, 2050, 30) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 28, 2030, 29, 2050, 30) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Coal Supercritical CCS,Malaysia,Process Share,Share,0,0,0,
Coal Supercritical CCS,Malaysia,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,"If((Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])>0),(Capital Cost[Thousand USD/MW] * (Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])) / 1000),0)","If((Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])>0),(Capital Cost[Thousand USD/MW] * (Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])) / 1000),0)"
Coal Supercritical CCS,Malaysia,Renewable Qualified,Percent,,,,0
Coal Supercritical CCS,Malaysia,Salvage Value,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Malaysia,Seasonal Storage Carryover,Yes/No,No,,,
Coal Supercritical CCS,Malaysia,Starting Charge,Share,0,,,
Coal Supercritical CCS,Malaysia,Stranded Cost,U.S. Dollar,0,0,0,0
Coal Supercritical CCS,Malaysia,Variable OM Cost,U.S. Dollar,"Interp(2020, 5.5, 2030, 5.33, 2050, 5.23) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Variable OM Cost[USD/MWh] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS VOM[USD/MWh]) / 100 ? _x000D_
Supercritical VOM cost plus calculated VOM cost for CCS (average of fuel types)","Interp(2020, 5.5, 2030, 5.33, 2050, 5.23) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Variable OM Cost[USD/MWh] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS VOM[USD/MWh]) / 100 ? _x000D_
Supercritical VOM cost plus calculated VOM cost for CCS (average of fuel types)","Interp(2020, 5.5, 2030, 5.33, 2050, 5.23) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Variable OM Cost[USD/MWh] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS VOM[USD/MWh]) / 100 ? _x000D_
Supercritical VOM cost plus calculated VOM cost for CCS (average of fuel types)","Interp(2020, 5.5, 2030, 5.33, 2050, 5.23) ? Vietnam PDP8; WS1_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
 ?_x000D_
Coal Supercritical:Variable OM Cost[USD/MWh] + (Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Unspecified:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Anthracite:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Bituminous:CCS VOM[USD/MWh] + _x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:Feedstock Fuel Share[2020 USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Sub bituminous:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Coal Lignite:CCS VOM[USD/MWh] +_x000D_
Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:Feedstock Fuel Share[USD/Tonne] * Transformation\Electricity Generation\Processes\Coal Supercritical CCS\Feedstock Fuels\Biomass:CCS VOM[USD/MWh]) / 100 ? _x000D_
Supercritical VOM cost plus calculated VOM cost for CCS (average of fuel types)"
Coal Supercritical CCS,Myanmar,Annual Storage Carryover,Yes/No,No,,,
Coal Supercritical CCS,Myanmar,Capacity Additions,MW,0,0,0,0
Coal Supercritical CCS,Myanmar,Capacity Credit,Percent,80 ? max availability,80 ? max availability,80 ? max availability,80 ? max availability
Coal Supercritical CCS,Myanmar,Capacity Retirement,MW,0,0,0,0
